evidence	conclusive
loser	big
believe	staunchly
gains	significant
snow	flurries
troubling	deeply
battle	gruelling
left	far
hurt	badly
object	violenty
details	intimate
opponent	great
illness	grave
argument	cogent
flurries	lingering
applause	loud
appetite	voracious
size	small
error	major
distance	huge
argument	weighty
wrong	terribly
pressure	enormous
evidence	compelling
storm	driving
lie	shamelessly
kick	firm
observance	strict
tone	strong
right	far
argument	convincing
hot	white
urge	strongly
focus	tightly
question	tough
sleep	heavy
determination	dogged
quake	strong
committed	deeply
past	remote
fragment	snippet
weight	great
enemy	arch
blow	crippling
aware	fully
role	small
understand	fully
acclaim	considerable
bid	desperate
scream	wild
lie	big
cheat	out-and-out
attention	meticulous
threat	major
tradition	deep-seated
reliance	great
violate	flagrantly
color	light
catastrophe	huge
fragment	morsel
interrogation	close
impact	tremendous
fight	doggedly
mistake	crowning
sleeper	heavy
danger	great
act	swiftly
smell	strong
argument	powerful
obedience	total
warning	strong
trouble	great
gratitude	heartfelt
expert	great
fun	lots
riposte	devastating
high	spike
damaged	seriously
promise	powerful
damage	incalculable
grind	coarse
criticize	vigorously
hatred	deep
enemy	sworn
ally	wobbly
grateful	enormously
victory	resounding
reserves	strong
search	frantic
satire	searing
access	unfettered
sigh	heavy
white	lily
stroke	massive
protest	strong
reason	compelling
bad	garish
pain	keen
sigh	big
dark	pitch
love	passionate
punishment	light
exposed	heavily
resistance	ferocious
hot	blistering
watch	close
scare	hair-raising
similarity	substantial
minimum	absolute
task	difficult
master	seasoned
grip	strong
grind	fine
object	strongly
grip	tight
observation	trenchant
animosity	strong
associated	closely
business	brisk
risk	high
threatening	life
appreciate	greatly
classification	fine-grained
lean	heavily
loss	stunning
level	low
sign	tangible
grin	broad
hot	scorching
blow	last
sceptical	somewhat
penalty	stiff
attack	tremendous
attention	utmost
period	extended
traveller	inveterate
hit	hard
consider	carefully
influence	great
care	deeply
emphasize	sharply
criticize	harshly
need	absolutely
standard	strict
resistance	stiff
surveillance	intense
likelihood	strong
energy	awesome
experience	rich
crime	horrible
enemy	implacable
exceed	greatly
rested	completely
magnet	huge
famine	severe
division	deep
limit	strictly
amount	huge
bond	strong
commited	strongly
new	brand-
nonsense	utter
flavor	intense
scrutiny	close
success	runaway
serious	extremely
temptation	strong
wound	gaping
good	finger-licking
difference	crucial
reaviling	highly
doubt	slightly
plastered	slightly
refuse	pointedly
fear	craven
improve	drastically
poor	dirt
rain	moderate
resolve	steely
school	hard
rank	high
significance	special
laughter	uproarious
fog	milky
right	dead
enmity	festering
challenge	great
behind	solidly
warning	stern
hot	red
injustice	gross
push	hard
future	remote
skinny	scrawny
condition	stable
views	strong
back	solidly
misguided	fundamentally
resentment	deep
argumentation	stringent
competition	stiff
esteem	highly
living	meager
sum	vast
sorry	deeply
reminder	pointed
significance	vital
success	roaring
result	tangible
admiration	faint
sum	hefty
price	staggering
magnet	powerful
part	large
argument	trenchant
blush	painfully
mistake	big
work	closely
response	big
hot	stiffling
attention	rapt
enemy	deadly
servile	cringingly
admiration	lukewarm
sum	substantial
example	enlightening
taskmaster	hard
lie	thundering
offender	serious
forget	plumb
cut	big
extension	great
lie	arrant
smoke	light
applause	subdued
mistake	slip
powers	vast
reform	sweeping
clean	squeaky
clear	abundantly
admiration	utmost
drunk	slightly
reader	avid
evidence	dramatic
light	dim
rely	heavily
evidence	convincing
fear	mortal
recommend	highly
oppose	hotly
applause	tumultuous
currency	general
epidemic	major
importance	profound
revenge	terrible
chances	strong
interesting	absorbingly
critic	vocal
snow	heavy
complicated	immensely
priority	top
lie	bald-faced
bore	dreadful
resistance	fierce
bad	gaudy
cost	heavy
color	dull
benefit	great
welcome	warmly
blow	softly
horizons	broad
invest	heavily
dispute	hotly
condolences	deepest
rich	filthy
please	enormously
listen	carefully
objection	powerful
consequence	momentous
relationship	strong
worried	terribly
idiot	perfect
criticize	strongly
opposed	flatly
demand	heavy
speed	lightning
new	radically
check	carefully
mistaken	royally
pressure	high
believer	big
fog	patchy
believer	staunch
cherish	deeply
task	formidable
debate	greatly
affect	profoundly
role	prominent
regrets	deep
cut	deep
competition	tough
reduce	much
clarity	crystal
need	badly
surprise	great
use	heavily
need	desperately
sketch	roughly
ecstasy	pure
medication	strong
analysis	crude
cushion	substantially
affect	deeply
success	resounding
advantage	slight
similarity	striking
temperature	low
criticism	violent
medication	mild
defeat	devastating
contest	close
rain	soaking
earthquake	devastating
disregard	reckless
powers	sweeping
reform	root-and-branch
stand	strong
hot	boiling
attraction	deep
advantage	huge
influence	pervasive
warning	serious
move	inch
cold	freezing
contact	close
transformation	deep
possibility	strong
master	passed
response	muted
confidence	great
interested	seriously
peace	fragile
exploited	widely
criticism	heavy
rage	terrible
victory	landslide
sigh	deep
deny	strenuously
thanks	awfully
bill	hefty
perspective	large
populated	highly
mourn	bitterly
attack	scathing
support	considerable
part	lion’s
argument	good
face	squarely
examine	closely
difference	big
idiot	absolute
naked	stark
prefer	strongly
applause	thunderous
flow	trickle
transformation	momentous
gratitude	undying
inflective	highly
concidence	pure
impossible	outright
peril	great
headache	splitting
success	great
enemy	bitter
inspection	thorough
problem	big
bother	perpetually
color	faded
quit	cold-turkey
restrictions	tight
available	widely
hope	weak
watch	intently
thirst	acute
assumed	widely
speed	low
praise	high
demand	high
blow	severe
victory	hairline
action	swift
abandon	wild
plastered	royally
follower	staunch
reminder	vivid
fog	thick
clash	heavy
deny	adamantly
buried	deeply
lie	brazenly
attention	careful
intention	firm
fail	utterly
fact	irrefutable
wind	breeze
race	close
rich	fabulously
beer	strong
dejection	utter
concerned	keenly
blush	hotly
censorship	mild
grip	iron
surpass	greatly
apologize	perfunctorily
insight	revealing
warning	mild
amazing	jaw-dropping
revenge	bloody
overview	brief
step	substantial
hope	faintly
information	vital
opposed	diametrically
scream	blood-curdling
grip	firm
basis	solid
related	distantly
trust	impeccably
hope	slight
laughter	wild
clouds	thick
evidence	critical
nerves	strong
hurry	great
work	tirelessly
fire	raging
winter	cold
similarity	great
threat	mortal
grin	big
nap	light
probability	high
shooting	fatal
drop	sharp
black	coal
study	detailed
error	fundamental
earthquake	powerful
accolade	highest
contradiction	flagrant
exploited	actively
reproof	mild
friendship	firm
draw	heavily
campaign	unremitting
scale	large
eye	eagle
illness	slight
failure	astounding
expenditure	large
character	weak
punishment	mild
hatred	visceral
loan	huge
variety	wide
temperature	low
denounce	categorically
depleted	painfully
shock	great
apart	poles
security	tense
hatred	deathly
no	roaring
reverence	deep
wound	severe
foe	implacable
collaborate	hand-in-hand
budget	low
lead	wide
fist	huge
smile	vague
requirement	strict
lie	bold-faced
line	fine
lie	out-and-out
resilience	great
success	little
desire	intense
detest	absolutely
discussion	spirited
argument	heated
criticize	severely
salary	big
war	bloody
understatement	vast
conceal	carefully
benefit	largely
interest	great
rift	open
bad	egregious
error	insignificant
bore	stiff
illustration	cursory
blow	grievous
definition	tight
explosion	huge
threat	outright
place	central
toll	heavy
suspicion	deep
vote	overwhelmingly
smoke	thick
faith	unshakable
commitment	unshakable
patience	unceasing
ceremony	pageantry
frown	deep
applause	terrific
accolade	supreme
approval	strong
swing	sharp
peal	great
apology	deepest
necessity	dire
injury	light
welcome	cautious
failure	fatal
number	huge
reflect	neatly
discovery	great
first	ever
condoleances	deep
illness	terminal
wind	brisk
confidence	full
contempt	open
drama	high
blamed	widely
explosion	powerful
hug	tight
pray	fervently
sharp	razor
age	young
drink	voraciously
stop	dead
laughter	rolling
rain	scudding
complexity	staggering
match	perfect
attack	blistering
reward	generously
rise	sharp
ill	gravely
attention	intense
increase	dramatic
winter	severe
nap	snooze
depth	big
attention	scant
pay	heavily
abyss	yawning
dangerous	incredibly
beautiful	strikingly
joy	great
beauty	raving
warning	dire
concern	important
stretch	thin
threat	violent
right	100%
dangerous	very
importance	prime
proportions	harrowing
clash	bitter
rule	hard
fire	intense
money	pittance
turnabout	sharp
damage	lightly
brunt	full
blow	heavy
age	tender
success	stunning
wound	moderate
qualified	highly
rise	sharply
majority	crushing
amazing	stunning
accusation	heavy
injured	lethally
move	edge
laugh	titter
disease	serious
listen	intently
shower	heavy
distrust	deep
opponent	vigorous
criticism	strong
testimony	solid
hole	huge
field	wide
debate	heated
threat	grave
hungry	ravenously
bleed	copiously
respect	deep
riposte	crushing
suited	eminently
concentration	low
margin	wide
resemble	strongly
losses	grievous
constancy	bedrock
success	smash
breeze	brisk
reluctant	strongly
lie	fib
different	markedly
quake	deadly
storm	severe
criticism	harsh
know	well
opposition	fierce
storm	violent
quake	huge
undermine	seriously
opposition	strong
breeze	stiff
humiliate	grossly
poor	wretchedly
authority	confirmed
sun	strong
jeopardy	grave
resistance	heavy
vary	slightly
setback	crushing
beautiful	spectacularly
decline	slightly
different	completely
tend	strongly
amazement	utter
condemn	roundly
part	major
North	High
age	old
grounds	solid
opinion	strong
parallel	close
consequence	serious
Tory	diehard
rift	deep
booked	solid
idiot	complete
intertwined	closely
sleeper	light
opposed	adamantly
famine	wide-spread
compensation	hefty
need	acute
chance	slim
change	considerably
bore	crashing
catastrophe	great
attack	vigorously
perfume	strong
incidence	high
review	briefly
differ	significantly
proportion	large
attention	avid
small	exceedingly
consider	universally
skinny	emaciated
flow	freely
disregard	flagrant
analysis	exhaustive
offensive	all-out
degradation	utter
shaken	deeply
interest	consuming
passion	all-consuming
fail	dismally
winter	harsh
follow	closely
crisis	deep
treachery	rank
sorrow	deep
role	crucial
surprise	complete
worring	extremely
difficulty	serious
disaster	total
clash	fierce
sympathy	strong
collaborate	closely
perspective	vast
exaggeration	gross
inspection	cursory
wounded	badly
increase	steep
skills	considerable
difference	vast
heat	intense
role	key
wounded	fatally
deserve	richly
veteran	seasoned
cliché	tired
complain	gripe
chances	poor
love	boundless
fight	fiercely
sound	loud
quake	severe
deteriorate	shockingly
determined	very
investigation	intense
kindness	endless
alcohol	heady
alcohol	strong
commitment	deep
new	spanking
overlap	heavy
awe	great
spotlight	harsh
stand	foursquarely
deaf	stone-
rival	bitter
stand	firmly
defense	staunch
question	haunting
price	heavy
violation	major
peace	fragile
move	crawl
fall	sharply
silence	stony
pleasure	little
security	tight
promise	great
critic	strident
official	top-ranking
sleep	deep
recommendation	strong
sigh	tremendous
wound	superficial
argument	poor
defy	blatantly
peace	precarious
quake	devastating
artillery	heavy
facilitate	substantially
discussion	in-depth
deserve	amply
foe	harsh
victory	sweeping
exceed	much
annoy	dreadfully
smoker	heavy
blow	significant
enemy	mortal
applaud	warmly
stench	mephitic
wit	sparkling
basis	shaky
applause	frenzied
gap	big
important	tremendously
wet	wringing
fighting	fierce
doubt	slight
argument	strong
suggest	strongly
liar	confirmed
wounded	seriously
imbedded	deeply
protest	strongly
scrutiny	intense
interest	passionate
aware	deeply
pedantry	arrant
impression	indelible
speculation	purest
before	way
fist	hard
mist	haze
combat	intense
evidence	irrefutable
miss	sorely
turn	sharp
heat	fierce
argument	knock-down
degree	small
concern	pressing
use	actively
vary	greatly
argument	compelling
success	out-and-out
distinction	subtle
acceptance	unconditional
importance	high
similarity	profound
tired	dog
betrayal	searing
wind	heavy
brown	buff
squeak	shrilly
extent	great
rubbish	utter
populated	sparsely
hinge	heavily
accident	bad
will	iron
smile	small
suffering	extreme
taste	immaculate
problem	serious
prefer	much
handshake	firm
win	convincing
heat	scorching
progress	little
majority	slight
powers	great
drunkard	heavy
cry	loud
punch	powerful
evidence	unambiguous
light	considerable
hope	guarded
damage	cataclismic
suit	ideally
elected	narrowly
obvious	blatantly
lucrative	highly
warn	strongly
kick	hard
profits	outstanding
matter	terribly
remember	vividly
admirer	great
hot	sizzling
shame	crying
secret	best-kept
hot	infernally
agreement	full
apology	strong
represented	strongly
rain	heavy
accepted	generally
clarity	utter
desire	passionate
challenge	serious
marked	highly
scared	stiff
weapon	powerful
reduce	drastically
progress	considerable
clash	bloody
liar	out-and-out
snore	uproariously
well	full
progress	rapid
fool	arrant
quantity	great
pain	killer
voice	faint
fine	stiff
dress	light
temperature	cool
avert	narrowly
hope	strongly
combat	rude
differ	greatly
lie	fib
evidence	strong
variety	striking
quarrel	tiff
doubt	strong
disagree	vehemently
reaviling	particularly
percentage	large
classification	detailed
unacceptable	totally
evidence	clear
breakthrough	sweeping
expectations	high
traffic	dense
commitment	steadfast
attack	heavy
fine	hefty
advantage	little
losses	staggering
wet	through
quarrel	spat
victory	dramatic
use	widely
vomiting	severe
liar	hopeless
violation	gross
neigh	whinny
threat	blood-curdling
populated	densely
analysis	profound
saddened	deeply
forest	dense
friend	staunch
hate	absolutely
disabilitated	slightly
explosive	high
range	wide
sanctions	crippling
assault	full-scale
rattle	badly
fact	1
victory	stunning
degree	large
flexibility	tremendous
battle	bloody
sunshine	sparkling
precision	great
power	sweeping
illness	acute
fail	badly
event	momentous
win	narrowly
optimism	unbridled
opposed	strongly
absurd	patently
argument	tenuous
joy	ineffable
coverage	wide
traffic	light
argument	persuasive
complaint	bitter
balance	fragile
heat	searing
role	essential
motivation	strong
recommend	strongly
hit	direct
accent	thick
rain	light
wounded	critically
details	full
step	strong
support	overwhelming
conclusion	inescapable
independent	fiercely
inhibition	shackling
clash	violent
boring	dead
complaint	vociferous
task	onerous
tradition	established
opponent	staunch
trust	deep
drunk	tipsy
market	vast
hunger	acute
rule	iron-clad
observe	strictly
experience	extended
defect	serious
laugh	uproariously
wound	critical
want	badly
praise	faint
confidential	strictly
hope	dubious
surprised	profoundly
victory	big
awake	wide
doubts	serious
question	tricky
gains	small
screw	royally
control	full
wish	dearest
sorry	awfully
commitment	uncompromising
resemblance	uncanny
wind	gentle
objection	stern
simplification	gross
struggle	bitter
grin	perpetual
mistake	bad
fee	fat
populated	thickly
victory	complete
combat	mortal
field	intense
increase	sharp
controls	stringent
winner	out-and-out
border	porous
account	general
problem	enormous
laughter	muffled
concession	significant
concerned	deeply
blow	dingN
know	cold
learned	vastly
taste	good
deny	flatly
exhausted	dreadfully
hot	blazing
deny	firmly
debt	substantial
liar	arrant
keen	razor
official	senior
efforts	endless
pain	excrutiating
tension	hightened
settled	thickly
pain	extreme
emphasis	strong
tip	heavily
amount	tremendous
turn	abruptly
respect	high
too	far
ecstasy	sheer
river	powerful
argument	unassailable
support	unshakable
lose	completely
wounded	lightly
cropped	closely
epidemic	vast
believer	huge
examine	carefully
mad	raving
hope	modest
response	strong
show	vividly
rob	blind
evidence	cogent
debt	unpayable
applause	raging
terror	black
beat	badly
decline	greatly
distress	extreme
provocation	outright
age	advanced
task	hard
burden	staggering
distortion	gross
slogan	snappy
role	decisive
infectious	highly
blush	furiosly
rain	torrential
crime	petty
impression	strong
vertical	plumb-bob
lose	big
enforce	strictly
margin	razor-thin
failure	glaring
argument	weak
divided	sharply
laughter	side-splitting
protest	stormy
quality	low
wound	fatal
convoy	long
witness	first-hand
bored	stiff
disturbed	deeply
explosion	large
debate	passionate
suited	ideally
argument	conclusive
emphasis	heavy
professional	well-seasoned
mistake	serious
chasm	yawning
amazement	stunned
treasure	precious
accent	dreadful
apologize	profusely
storm	strong
pressure	heavy
thirst	scorching
risk	enormous
operation	large-scale
crazy	dotty
sleep	snooze
cold	heavy
example	stark
gorgeous	drop-dead
injured	badly
new	stunning
compromise	far-reaching
expectations	great
noise	damped
weep	bitterly
involved	closely
limitation	severe
attack	sharp
master	past
asleep	soundly
guard	zealously
intuition	sharp
coffee	weak
resistance	light
problem	glaring
classification	exhaustive
chat	light
stop	cold
applaud	loudly
short	badly
doubt	gnawing
applause	scattered
contempt	bitter
relative	near
combat	murderous
experience	vast
proof	hard
punishment	severe
headache	thumping
number	large
battle	great
boost	big
reject	flatly
beat	soundly
attention	heightened
number	sizable
threaten	gravely
light	faint
examination	close
critic	adamant
lead	confidently
measure	tough
difference	sharp
portion	small
importance	little
weight	large
hope	fervent
crack	vast
rain	hard
different	entirely
gap	narrow
need	great
hatred	all-consuming
rhetoric	fiery
sure	quite
future	near
cut	steep
standard	high
attack	violent
disgusted	thouroughly
resistance	tenacious
ties	strong
coverage	broad
thank	profusely
need	imperative
bottom	rock
progress	substantial
cry	unconsolably
accent	strong
raise	significantly
view	grave
casualties	high
growth	weak
height	giddy
attack	full-scale
victory	crushing
fight	bitterly
controversial	highly
engaged	deeply
enjoy	thoroughly
right	unquestionably
difference	significant
ecstasy	rapt
mount	steeply
cause	leading
illness	fatal
defeat	thumping
penchant	pronounced
regret	deeply
recognize	clearly
interest	great
coat	light
forget	entirely
smile	wide
bad	monstrous
attack	full-scale
classification	coarse
consolation	feeble
criticism	withering
wind	blustery
damage	bad
analysis	deep
action	harsh
doubt	serious
correspondence	exact
compete	hard
toll	devastating
demand	heavy
cost	low
example	telling
alcohol	weak
demand	hot
right	extreme
sleep	doze
believe	fervently
offensive	major
concentration	high
clad	scantily
bond	unbreakable
treatment	thorough
attention	uppermost
foe	ruthless
blow	hard
need	sorely
astonishment	gross
possibility	remote
against	adamantly
example	striking
pain	gut-wrenching
conclusion	key
lie	brazen
measure	resolute
nap	cat
gratitude	unlimited
shame	deep
partisan	staunch
tired	very
damage	slight
deep	skin
number	unprecedented
price	low
scoundrel	unmitigated
welcome	warm
reminder	stark
illness	serious
condemn	harshly
incompetence	gross
thanks	plenty
expert	leading
laughter	hysterical
improvement	vast
disparity	sharp
mistake	huge
escalation	sharp
consider	generally
damage	great
majority	vast
discussed	widely
lack	serious
noise	deafening
difference	key
figure	staggering
laugh	giggle
sum	large
accent	slight
disaster	colossal
crime	minor
regulated	closely
effect	profound
influence	enormous
lie	great
ill	mortally
supportive	highly
worried	deeply
amount	vast
addictive	highly
regret	terrible
injured	seriously
champion	powerful
support	strong
disregard	blatant
battle	bitter
threat	severe
wish	fervent
help	substantive
power	absolute
velocity	high
rage	insane
related	strongly
decline	serious
color	subdued
greet	warmly
protest	heated
joy	overwhelming
condition	strict
applause	enthusiastic
accusation	serious
narrative	engrossing
different	radically
ill	severely
reject	strongly
influence	deeply
likely	highly
responsibility	complete
sleep	heavily
importance	paramount
faith	unwavering
achievement	momentous
critic	vociferous
rain	torrentially
rule	stiff
variety	dazzling
drunk	stone
quake	massive
concern	real
act	expeditiously
pressure	intense
interest	serious
challenge	big
disappointment	bitter
joy	exultant
concern	paramount
standard	lax
influence	powerful
opposed	vehemently
need	acutely
rain	driving
requirement	light
income	big
load	light
wind	strong
tarnish	severely
fascination	deepest
clean-up	general
problem	knotty
beautiful	divinely
wet	dripping
tragedy	terrible
back	way
tendency	clear
responsibility	full
wound	deep
applause	rapturous
